code,name,sector
ICLN,iShares Global Clean Energy ETF,Alternatives
RXT,"Rackspace Technology, Inc.",IT
VALE,Vale S.A.,Alternatives
IBN,ICICI Bank Limited,Financials
005935.KS,"Samsung Electronics Co., Ltd.",Semiconductor
IRDM,Iridium Communications Inc.,Communication Service
TCOM,Trip.com Group Limited,Discretionary
MSP,Datto Holding Corp.,IT
SAP,SAP SE,IT
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials
MAXR,Maxar Technologies Inc.,Industrials
SPCE,"Virgin Galactic Holdings, Inc.",Industrials
HDB,HDFC Bank Limited,Financials
HD,"The Home Depot, Inc.",Discretionary
MCO,Moody's Corporation,Financials
SONY,Sony Group Corporation,IT
BA,The Boeing Company,Industrials
RDS-B,Shell plc,Alternatives
ONEM,"1Life Healthcare, Inc.",Health Care
UNH,UnitedHealth Group Incorporated,Health Care
INFY,Infosys Limited,IT
TXN,Texas Instruments Incorporated,Semiconductor
AAPL,Apple Inc.,IT
SBUX,Starbucks Corporation,Discretionary
MS,Morgan Stanley,Financials
DIS,The Walt Disney Company,Communication Service
ETSY,"Etsy, Inc.",Discretionary
SNOW,Snowflake Inc.,IT
XM,Qualtrics International Inc.,IT
V,Visa Inc.,Financials
JNJ,Johnson & Johnson,Health Care
PGR,The Progressive Corporation,Financials
MSFT,Microsoft Corporation,IT
IBB,iShares Biotechnology ETF,Health Care
FB,"Meta Platforms, Inc.",Communication Service
BAC,Bank of America Corporation,Financials
PFE,Pfizer Inc.,Health Care
TDG,TransDigm Group Incorporated,Industrials
NFLX,"Netflix, Inc.",Communication Service
ASML,ASML Holding N.V.,Semiconductor
